10000; 0.239
20000; 0.381
30000; 0.839
40000; 1.486
50000; 2.332
60000; 3.360
70000; 4.448
80000; 5.922
5000; 0.031
10000; 0.094
15000; 0.191
20000; 0.359
25000; 0.552
30000; 0.844
35000; 2.900
40000; 3.804
45000; 4.756
5000; 0.113
10000; 0.082
15000; 0.204
20000; 0.380
25000; 0.592
30000; 0.821
35000; 1.142
40000; 1.483
45000; 1.895
50000; 2.304
