5000; 25015001
10000; 100030001
15000; 225045001
20000; 400060001
25000; 625075001
30000; 900090001
35000; 1225105001
40000; 1600120001
45000; 2025135001
50000; -1794817295
50000; -1794817295
50000; -1794817295
50000; 2500150001
5000; 25015001
10000; 100030001
15000; 225045001
20000; 400060001
25000; 625075001
30000; 900090001
35000; 1225105001
40000; 1600120001
45000; 2025135001
50000; 2500150001
10000; 100030001
20000; 400060001
30000; 900090001
40000; 1600120001
50000; 2500150001
60000; 3600180001
70000; 4900210001
